Student ID,Study Hours per Week,Attendance Rate,Previous Grades,Passed
S23058,4.00,66.80,65.70,No
S23059,7.90,96.90,72.80,Yes
S23060,,111.00,94.00,No
S23061,9.80,40.90,81.60,Yes
S23062,6.60,56.30,74.90,No
S23063,1.20,99.90,56.70,No
S23064,4.70,87.00,55.70,Yes
S23065,18.20,83.70,53.90,Yes
S23066,11.20,88.90,46.50,No
S23067,,76.90,77.70,No
S23068,8.60,84.60,67.00,Yes
S23069,9.70,68.50,,Yes
S23070,7.90,70.40,40.70,No
S23071,12.60,73.10,53.60,No
S23072,10.50,66.90,63.10,No
S23073,4.10,84.40,47.30,No
S23074,11.30,81.00,47.50,Yes
S23075,-2.30,37.70,50.60,Yes
S23076,12.10,70.90,,No
S23077,3.00,75.40,27.10,Yes
S23078,9.50,105.60,62.50,Yes
S23079,4.00,69.30,87.80,Yes
S23080,10.00,76.90,80.90,No
S23081,12.90,73.50,81.90,Yes
S23082,17.50,101.40,59.80,Yes
S23083,2.30,51.10,94.20,Yes
S23084,14.90,59.30,56.40,Yes
S23085,10.70,,71.80,Yes
S23086,7.70,75.30,72.90,No
S23087,13.80,45.10,48.50,No
S23088,8.80,104.30,,No
S23089,13.60,83.30,78.20,No
S23090,5.00,86.70,51.20,No
S23091,6.80,117.00,63.60,No
S23092,14.70,68.10,71.00,Yes
S23093,17.40,92.10,64.70,Yes
S23094,9.80,86.60,75.20,No
S23095,,105.80,72.00,No
S23096,9.00,88.80,73.10,No
S23097,10.20,150.00,70.60,Yes
S23098,8.80,83.50,43.20,Yes
S23099,11.70,62.10,65.40,No
S23100,7.60,65.70,72.20,No
S23101,14.20,74.70,,No
S23102,4.20,71.30,71.10,No
S23103,16.20,57.10,62.40,Yes
S23104,,29.60,75.10,No
S23105,5.40,80.90,54.90,No
S23106,5.40,82.40,86.20,Yes
S23107,12.10,82.30,63.70,Yes
S23108,4.10,113.10,61.50,Yes
S23109,7.50,44.30,43.40,No
S23110,15.50,106.10,58.00,Yes
S23111,13.70,124.80,63.80,No
S23112,19.90,110.30,90.90,No
S23113,10.90,68.00,59.00,Yes
S23114,6.90,84.10,63.90,No
S23115,10.30,59.60,75.40,Yes
S23116,9.20,61.50,52.50,No
S23117,9.30,,57.80,Yes
S23118,,89.00,84.40,No
S23119,5.30,90.20,42.40,Yes
S23120,11.40,52.50,54.60,No
S23121,3.00,45.50,70.50,Yes
S23122,6.40,96.10,70.90,nan
S23123,9.40,83.40,,Yes
S23124,-1.30,69.00,67.50,Yes
S23125,13.80,109.70,56.10,Yes
S23126,-0.30,86.90,58.60,Yes
S23127,,58.00,81.90,Yes
S23128,3.50,36.20,54.70,Yes
S23129,8.00,87.00,62.10,Yes
S23130,12.60,65.60,78.80,Yes
S23131,21.00,72.20,60.40,Yes
S23132,10.60,70.60,73.90,Yes
S23133,0.10,103.60,,No
S23134,14.80,91.90,50.00,No
S23135,8.80,73.10,56.70,Yes
S23136,10.30,72.50,43.40,No
S23137,12.80,80.80,48.10,Yes
S23138,-1.10,101.40,55.30,No
S23139,10.00,76.70,96.80,No
S23140,8.00,63.50,70.90,nan
S23141,16.10,50.90,77.40,Yes
S23142,13.60,73.30,75.20,No
S23143,1.90,51.00,30.90,Yes
S23144,16.30,81.80,66.90,No
S23145,12.20,84.10,57.20,No
S23146,2.30,98.80,41.30,Yes
S23147,10.30,70.80,71.80,Yes
S23148,15.20,95.60,37.40,Yes
S23149,3.90,107.20,64.80,Yes
S23150,16.90,76.50,60.50,No
S23151,2.40,119.70,,No
S23152,6.00,103.70,79.40,Yes
S23153,5.30,65.40,62.10,No
S23154,16.90,133.90,68.40,nan
S23155,7.50,73.60,75.20,No
S23156,4.20,103.00,77.20,Yes
S23157,12.20,87.60,66.70,Yes
S23158,13.30,81.10,51.50,No
S23159,13.30,101.20,63.50,Yes
S23160,8.60,78.00,76.40,No
S23161,11.30,73.50,,No
S23162,6.70,74.10,72.00,Yes
S23163,18.40,52.10,55.30,Yes
S23164,,96.30,77.20,No
S23165,15.40,61.80,63.80,No
S23166,14.00,79.20,49.10,Yes
S23167,12.60,75.40,104.10,Yes
S23168,3.80,87.10,67.10,No
S23169,13.20,74.70,27.30,No
S23170,10.60,69.60,51.10,Yes
S23171,16.30,83.30,85.40,No
S23172,14.00,81.60,77.40,Yes
S23173,12.80,,83.30,Yes
S23174,1.60,72.80,59.90,No
S23175,9.60,100.40,76.90,No
S23176,7.20,124.10,60.90,No
S23177,11.30,40.80,70.30,No
S23178,7.90,91.60,45.70,No
S23179,8.60,77.10,61.00,No
S23180,12.30,,26.60,Yes
S23181,7.80,66.40,63.30,nan
S23182,10.60,56.20,52.00,Yes
S23183,2.40,47.80,67.90,Yes
S23184,5.80,82.70,48.30,Yes
S23185,13.30,110.70,63.60,Yes
S23186,,82.10,111.90,No
S23187,16.20,78.40,,No
S23188,,62.50,55.90,nan
S23189,8.70,56.40,66.70,Yes
S23190,25.00,75.40,19.60,Yes
S23191,16.20,54.40,59.10,Yes
S23192,5.30,97.50,64.00,No
S23193,13.70,63.40,,No
S23194,10.30,58.10,80.90,Yes
S23195,6.10,120.00,70.90,No
S23196,4.70,101.00,47.80,nan
S23197,15.00,,36.80,Yes
S23198,7.00,,80.10,No
S23199,9.50,71.10,55.80,Yes
S23200,5.40,71.80,69.30,Yes
S23201,6.30,65.80,87.50,Yes
S23202,9.40,101.70,69.10,No
S23203,11.90,79.20,41.80,Yes
S23204,-2.90,74.30,69.90,No
S23205,10.10,62.80,61.30,Yes
S23206,6.30,54.00,44.00,Yes
S23207,17.00,62.50,79.50,No
S23208,24.70,57.50,70.20,No
S23209,8.20,49.80,93.60,Yes
S23210,1.40,96.60,65.50,No
S23211,10.60,93.60,54.30,Yes
S23212,9.00,67.50,70.30,Yes
S23213,19.90,101.40,60.70,Yes
S23214,18.30,86.80,84.40,No
S23215,14.30,53.40,66.50,Yes
S23216,7.10,45.80,55.20,No
S23217,13.40,81.10,68.00,No
S23218,11.30,84.50,69.70,Yes
S23219,11.20,49.10,68.40,No
S23220,2.20,,60.70,Yes
S23221,15.30,92.10,66.40,No
S23222,10.50,106.40,56.50,No
S23223,9.50,76.70,68.70,No
S23224,7.00,76.10,51.20,Yes
S23225,6.00,66.00,53.30,No
S23226,11.60,104.70,94.50,Yes
S23227,1.30,86.10,57.20,No
S23228,13.90,58.20,71.00,Yes
S23229,4.70,90.60,40.60,No
S23230,-0.30,61.00,59.80,Yes
S23231,19.10,56.00,78.30,Yes
S23232,5.70,66.10,70.90,No
S23233,6.40,57.80,40.40,No
S23234,15.70,56.90,55.30,Yes
S23235,19.30,47.00,79.10,No
S23236,2.30,61.00,47.80,Yes
S23237,5.20,64.30,72.50,Yes
S23238,5.60,48.00,68.80,No
S23239,14.70,85.80,40.40,No
S23240,18.20,39.70,,No
S23241,4.60,67.40,76.60,Yes
S23242,17.10,88.20,63.60,nan
S23243,6.50,,69.00,No
S23244,,63.50,54.00,No
S23245,3.60,95.30,61.10,No
S23246,9.40,67.70,68.10,Yes
S23247,9.40,120.10,80.60,No
S23248,8.40,,71.90,Yes
S23249,11.90,,59.00,No
S23250,,78.20,60.20,Yes
S23251,5.60,49.80,66.80,No
S23252,12.20,60.80,61.50,nan
S23253,16.70,150.00,64.70,No
S23254,9.90,78.80,25.20,No
S23255,12.50,74.30,,No
S23256,13.80,74.50,91.00,No
S23257,14.20,25.80,71.60,Yes
S23258,5.20,78.00,72.80,No
S23259,6.10,62.30,71.80,Yes
S23260,6.50,67.60,70.40,No
S23261,19.60,43.20,67.20,Yes
S23262,12.50,88.50,82.80,No
S23263,12.30,86.00,72.70,No
S23264,,51.70,39.10,No
S23265,3.40,78.60,54.60,No
S23266,19.70,107.90,56.10,nan
S23267,12.40,77.80,100.50,Yes
S23268,13.60,34.70,66.80,No
S23269,1.20,63.60,85.50,Yes
S23270,13.90,77.50,61.70,Yes
S23271,8.20,117.30,70.10,No
S23272,3.40,50.80,65.90,No
S23273,5.20,72.10,57.20,No
S23274,3.70,53.70,51.30,Yes
S23275,3.60,92.60,65.00,No
S23276,10.30,67.70,53.30,Yes
S23277,8.10,20.40,67.20,No
S23278,11.70,67.10,,Yes
S23279,18.40,72.80,,No
S23280,9.40,82.80,52.80,nan
S23281,-1.20,78.60,63.50,No
S23282,8.80,88.10,60.60,Yes
S23283,16.00,72.50,59.60,Yes
S23284,9.60,,77.00,No
S23285,17.60,75.20,38.90,Yes
S23286,12.30,66.70,,Yes
S23287,0.80,86.40,60.20,Yes
S23288,10.50,91.90,94.00,No
S23289,11.50,74.10,70.30,No
S23290,15.40,65.20,86.90,Yes
S23291,19.10,53.30,81.10,No
S23292,14.50,82.10,43.90,Yes
S23293,12.20,54.90,64.70,No
S23294,13.40,78.20,51.80,No
S23295,,77.60,49.40,Yes
S23296,2.70,96.30,39.60,No
S23297,10.20,102.70,51.10,No
S23298,11.80,14.20,72.20,No
S23299,4.00,71.00,74.60,No
S23300,16.60,33.00,70.30,No
S23301,15.00,98.20,51.80,No
S23302,3.10,74.50,58.30,No
S23303,16.80,98.00,49.70,Yes
S23304,8.50,80.20,85.20,No
S23305,6.10,48.00,74.50,Yes
S23306,15.40,55.60,41.50,Yes
S23307,9.70,72.30,69.20,No
S23308,19.50,86.40,48.90,No
S23309,5.70,,70.70,Yes
S23310,1.30,78.60,,nan
S23311,8.60,67.90,21.20,Yes
S23312,13.90,97.60,98.60,No
S23313,,,81.60,No
S23314,3.30,76.00,53.40,Yes
S23315,,,64.30,Yes
S23316,2.70,66.70,76.10,No
S23317,11.50,68.00,34.80,Yes
S23318,8.30,84.60,71.20,Yes
S23319,12.50,90.50,72.10,Yes
S23320,3.10,92.60,78.40,No
S23321,16.50,,51.00,Yes
S23322,9.10,77.50,69.50,No
S23323,13.80,62.90,,No
S23324,14.80,90.70,50.80,Yes
S23325,4.20,56.10,74.60,Yes
S23326,14.40,79.40,50.60,Yes
S23327,2.90,92.60,56.90,Yes
S23328,3.10,77.50,38.90,Yes
S23329,19.80,81.00,28.40,Yes
S23330,15.60,69.50,77.50,nan
S23331,20.40,37.90,81.10,No
S23332,8.10,61.50,71.20,No
S23333,10.50,75.90,49.30,Yes
S23334,12.60,61.20,76.80,No
S23335,9.90,84.70,68.60,Yes
S23336,6.30,45.70,72.70,Yes
S23337,5.50,36.30,71.20,No
S23338,11.10,88.90,55.20,Yes
S23339,4.70,68.80,66.50,Yes
S23340,4.50,81.90,59.50,Yes
S23341,12.00,64.60,67.00,Yes
S23342,9.50,86.30,76.40,Yes
S23343,14.70,102.10,56.00,Yes
S23344,7.90,103.60,76.10,No
S23345,7.10,62.00,,Yes
S23346,12.10,66.60,62.90,No
S23347,5.90,78.40,62.90,No
S23348,6.70,112.40,76.20,nan
S23349,6.90,51.90,62.40,No
S23350,9.00,52.10,63.30,No
S23351,18.90,92.40,89.10,No
S23352,3.10,61.70,77.50,Yes
S23353,16.50,88.20,82.80,No
S23354,13.70,63.30,89.60,nan
S23355,17.80,82.00,68.80,Yes
S23356,25.70,64.80,100.40,No
S23357,17.20,54.90,72.30,Yes
S23358,14.60,77.90,45.20,No
S23359,3.40,50.70,57.20,No
S23360,4.10,84.10,40.90,Yes
S23361,11.80,70.30,,Yes
S23362,1.50,47.80,68.30,Yes
S23363,13.10,81.00,57.60,Yes
S23364,-0.70,80.60,67.70,No
S23365,15.80,28.00,62.20,No
S23366,8.40,74.00,51.90,Yes
S23367,10.60,75.20,97.90,No
S23368,6.30,76.90,67.30,No
S23369,0.50,38.60,66.30,Yes
S23370,16.20,82.10,63.50,No
S23371,16.70,85.30,47.50,Yes
S23372,8.20,56.20,38.90,No
S23373,13.30,47.00,83.90,No
S23374,8.00,55.40,58.10,Yes
S23375,11.40,77.60,31.60,No
S23376,13.80,50.20,42.90,No
S23377,12.80,47.90,73.90,Yes
S23378,16.70,117.00,75.40,Yes
S23379,12.60,74.90,58.10,No
S23380,10.10,,81.90,No
S23381,6.20,61.60,44.00,Yes
S23382,7.60,66.50,89.00,No
S23383,14.10,111.00,40.10,No
S23384,,91.30,73.10,No
S23385,15.50,122.70,68.70,Yes
S23386,8.60,82.80,77.40,No
S23387,5.90,55.90,38.60,Yes
S23388,4.50,80.40,60.90,No
S23389,13.40,,80.70,Yes
S23390,9.90,87.30,48.70,Yes
S23391,17.90,66.20,86.50,No
S23392,3.70,111.10,35.10,Yes
S23393,7.10,49.60,39.40,Yes
S23394,9.50,81.80,52.00,Yes
S23395,6.20,69.20,74.60,No
S23396,,59.50,86.10,Yes
S23397,11.60,79.90,54.90,No
S23398,12.40,100.10,68.30,Yes
S23399,17.50,83.10,83.80,No
S23400,3.50,80.50,74.20,Yes
S23401,11.70,34.60,97.00,Yes
S23402,6.80,93.40,200.00,Yes
S23403,12.20,66.90,84.20,nan
S23404,12.20,85.70,53.60,Yes
S23405,5.10,93.40,70.30,No
S23406,5.50,78.90,66.20,No
S23407,12.60,35.00,70.30,Yes
S23408,10.10,103.30,48.40,No
S23409,8.90,111.10,56.90,No
S23410,13.30,91.30,50.90,Yes
S23411,13.70,150.00,55.50,No
S23412,7.40,99.60,63.60,Yes
S23413,5.70,69.40,50.10,No
S23414,3.70,73.70,54.00,No
S23415,10.20,99.00,73.80,Yes
S23416,2.90,87.90,69.80,Yes
S23417,10.50,27.90,90.60,Yes
S23418,16.10,79.20,67.20,No
S23419,8.20,98.70,91.30,No
S23420,7.30,47.70,42.30,Yes
S23421,20.00,94.50,36.90,Yes
S23422,17.50,41.60,59.50,No
S23423,6.20,70.70,58.20,Yes
S23424,10.70,85.80,,nan
S23425,11.60,69.90,58.60,No
S23426,11.00,98.60,76.10,Yes
S23427,19.10,46.70,58.50,Yes
S23428,10.40,91.30,75.40,No
S23429,11.20,76.10,83.60,Yes
S23430,13.40,57.90,76.30,Yes
S23431,15.90,83.80,61.80,No
S23432,14.70,73.60,58.60,No
S23433,12.70,104.60,84.60,Yes
S23434,2.20,86.70,90.00,Yes
S23435,7.60,83.30,69.70,Yes
S23436,14.10,61.50,77.10,Yes
S23437,11.30,77.90,74.30,No
S23438,14.10,63.50,55.20,No
S23439,19.40,73.80,66.80,No
S23440,4.10,99.90,70.40,No
S23441,15.70,69.30,85.60,No
S23442,8.30,46.10,62.70,Yes
S23443,14.70,,47.30,Yes
S23444,9.80,90.70,62.80,Yes
S23445,20.60,106.80,62.20,No
S23446,10.70,92.30,53.70,Yes
S23447,6.80,69.60,80.20,No
S23448,12.10,80.20,81.40,No
S23449,11.60,82.80,27.50,Yes
S23450,15.70,83.70,84.10,Yes
S23451,12.20,25.50,69.50,Yes
S23452,22.40,63.50,66.60,No
S23453,9.40,84.50,72.50,No
S23454,9.50,97.00,38.80,No
S23455,7.00,62.30,57.90,Yes
S23456,10.40,66.70,75.20,No
S23457,11.20,70.20,73.10,No
S23458,11.40,72.30,59.90,No
S23459,10.30,92.10,65.80,Yes
S23460,7.00,60.20,67.10,No
S23461,5.60,92.30,71.00,Yes
S23462,8.10,103.40,97.70,Yes
S23463,15.70,67.10,42.50,Yes
S23464,16.80,66.40,52.40,Yes
S23465,,78.20,,nan
S23466,5.30,63.30,72.00,No
S23467,9.60,73.20,65.70,No
S23468,20.50,45.60,50.50,Yes
S23469,15.00,92.10,,Yes
S23470,12.80,108.30,69.90,Yes
S23471,14.80,61.50,68.60,Yes
S23472,17.70,42.10,56.50,No
S23473,4.20,93.40,72.20,No
S23474,8.00,66.60,82.80,No
S23475,7.40,61.60,77.60,Yes
S23476,12.90,72.60,48.00,No
S23477,10.80,50.60,50.60,Yes
S23478,13.80,,76.20,No
S23479,7.50,49.70,55.90,Yes
S23480,16.90,,46.40,No
S23481,9.70,51.00,56.20,No
S23482,13.50,,,No
S23483,16.00,38.70,60.90,No
S23484,,116.80,62.20,No
S23485,11.80,67.50,38.30,No
S23486,14.10,32.70,68.50,Yes
S23487,18.70,53.80,72.10,No
S23488,12.60,87.00,67.20,Yes
S23489,6.40,102.00,73.40,Yes
S23490,12.90,78.30,,Yes
S23491,9.80,76.70,46.40,Yes
S23492,-1.70,44.40,64.70,Yes
S23493,12.30,104.80,69.70,Yes
S23494,10.60,86.10,69.60,No
S23495,15.80,81.40,86.20,Yes
S23496,6.20,75.30,71.10,Yes
S23497,2.50,85.60,66.00,No
S23498,10.80,59.00,77.90,No
S23499,11.90,93.80,78.60,No
S23500,10.50,,66.00,Yes
S23501,10.10,73.00,84.70,Yes
S23502,4.70,69.60,67.70,No
S23503,9.30,31.80,,No
S23504,8.30,40.40,79.00,No
S23505,15.40,85.90,54.40,Yes
S23506,11.90,93.10,86.80,No
S23507,8.60,96.40,57.90,Yes
S23508,18.60,48.10,50.10,nan
S23509,8.70,120.90,53.50,Yes
S23510,12.80,95.00,76.70,Yes
S23511,9.20,63.50,55.30,nan
S23512,18.20,78.30,53.50,No
S23513,10.40,41.10,59.60,No
S23514,10.60,62.70,25.20,No
S23515,9.30,85.80,83.80,Yes
S23516,11.00,76.30,43.30,nan
S23517,16.00,109.90,82.10,No
S23518,14.20,45.40,82.60,Yes
S23519,10.10,72.70,73.90,No
S23520,18.50,52.30,65.40,No
S23521,14.40,105.70,63.80,No
S23522,7.80,80.30,89.40,Yes
S23523,3.10,,99.20,Yes
S23524,7.90,72.30,35.80,Yes
S23525,12.10,57.50,75.90,No
S23526,13.00,99.00,60.70,Yes
S23527,16.80,78.40,97.90,Yes
S23528,,79.90,69.00,No
S23529,,86.60,54.30,Yes
S23530,4.10,57.80,52.10,No
S23531,3.30,114.90,,Yes
S23532,6.90,106.40,32.90,nan
S23533,11.80,74.30,47.70,No
S23534,13.90,69.00,43.30,Yes
S23535,5.30,87.80,25.40,No
S23536,,97.40,74.60,Yes
S23537,1.10,110.00,76.00,Yes
S23538,11.10,87.90,78.70,Yes
S23539,6.30,77.70,49.00,Yes
S23540,18.30,77.70,72.10,No
S23541,12.00,37.40,64.60,Yes
S23542,9.10,66.40,49.40,No
S23543,6.80,82.20,59.00,Yes
S23544,2.50,,44.90,Yes
S23545,3.20,78.60,38.60,No
S23546,6.90,58.80,52.20,No
S23547,,106.50,,No
S23548,5.00,69.30,77.50,Yes
S23549,11.90,69.70,54.50,Yes
S23550,12.60,72.30,80.20,Yes
S23551,7.70,74.90,82.10,No
S23552,19.70,90.90,67.60,Yes
S23553,1.30,68.10,58.20,No
S23554,10.30,75.50,49.90,Yes
S23555,8.90,91.00,51.80,No
S23556,7.20,75.20,75.20,Yes
S23557,6.50,88.10,77.50,No
S23558,10.00,66.10,59.90,Yes
S23559,8.90,82.00,67.40,No
S23560,8.00,101.20,42.40,Yes
S23561,3.50,87.00,56.70,Yes
S23562,1.90,37.60,70.70,No
S23563,8.60,86.10,55.20,No
S23564,8.00,51.90,46.60,No
S23565,9.00,56.50,51.50,Yes
S23566,9.50,84.80,43.20,No
S23567,7.40,55.60,49.20,No
S23568,8.90,52.80,77.10,No
S23569,5.70,74.90,86.30,Yes
S23570,17.60,62.70,90.40,No
S23571,6.00,42.40,62.00,No
S23572,8.10,86.10,63.10,Yes
S23573,6.40,,76.40,Yes
S23574,6.30,93.10,46.10,No
S23575,10.10,57.00,52.90,Yes
S23576,9.50,83.20,,No
S23577,7.70,65.10,85.50,No
S23578,8.60,49.70,,No
S23579,6.40,60.10,83.10,Yes
S23580,12.00,18.60,54.50,No
S23581,20.30,53.90,49.10,No
S23582,5.60,45.70,90.50,Yes
S23583,,79.10,67.90,No
S23584,10.20,80.80,54.50,Yes
S23585,13.30,41.20,,Yes
S23586,13.50,91.60,56.30,Yes
S23587,11.00,62.80,92.50,No
S23588,,53.60,59.50,Yes
S23589,7.80,39.20,27.00,No
S23590,6.20,59.00,58.80,No
S23591,9.50,72.20,77.00,No
S23592,3.60,94.90,60.80,No
S23593,7.00,72.90,73.40,Yes
S23594,15.50,68.70,71.10,Yes
S23595,10.50,86.60,61.10,No
S23596,14.50,77.80,53.70,No
S23597,17.30,44.90,56.90,No
S23598,9.10,66.30,,Yes
S23599,11.00,63.50,41.20,Yes
S23600,8.50,72.00,72.10,Yes
S23601,5.90,65.50,54.70,Yes
S23602,5.20,58.90,81.70,Yes
S23603,14.20,104.30,84.30,Yes
S23604,11.00,74.10,58.70,Yes
S23605,19.20,84.50,64.50,Yes
S23606,14.90,72.70,56.90,Yes
S23607,6.30,91.30,41.90,No
S23608,14.20,73.20,56.30,Yes
S23609,8.50,94.40,65.00,Yes
S23610,16.10,17.60,,Yes
S23611,7.60,77.00,92.10,Yes
S23612,4.70,80.20,55.60,No
S23613,6.00,81.10,52.00,nan
S23614,,53.30,78.30,Yes
S23615,5.80,60.50,23.70,Yes
S23616,7.10,54.10,50.00,nan
S23617,14.30,,81.80,Yes
S23618,19.00,93.10,50.70,No
S23619,3.30,42.10,56.90,No
S23620,16.30,79.10,64.90,No
S23621,7.60,57.70,75.10,Yes
S23622,11.70,110.00,64.30,No
S23623,1.70,86.30,64.10,No
S23624,12.60,68.00,59.80,Yes
S23625,0.00,72.30,60.80,No
S23626,11.60,100.90,52.40,Yes
S23627,11.30,76.10,49.40,nan
S23628,11.00,39.20,83.80,Yes
S23629,6.30,105.30,54.90,No
S23630,12.70,91.30,61.80,No
S23631,12.00,64.30,79.40,Yes
S23632,9.00,87.00,33.90,No
S23633,13.40,62.70,42.50,Yes
S23634,9.50,62.20,64.50,No
S23635,12.60,72.60,65.00,nan
S23636,9.40,87.00,41.40,Yes
S23637,11.10,84.40,37.30,No
S23638,12.90,93.80,,No
S23639,8.00,84.50,69.30,Yes
S23640,3.80,104.10,76.60,Yes
S23641,11.40,109.50,67.70,No
S23642,15.90,81.00,37.70,Yes
S23643,11.50,68.30,45.70,Yes
S23644,11.60,71.40,61.80,No
S23645,9.80,36.50,64.80,No
S23646,13.70,75.40,56.20,Yes
S23647,9.10,,59.40,Yes
S23648,7.70,60.90,69.40,Yes
S23649,15.50,74.20,95.20,No
S23650,,33.00,80.30,Yes
S23651,14.40,71.40,59.50,Yes
S23652,15.50,79.10,62.40,No
S23653,12.80,44.30,63.30,No
S23654,3.80,102.10,56.40,No
S23655,10.10,83.90,84.10,No
S23656,9.00,100.80,83.70,Yes
S23657,7.50,83.70,68.30,Yes
S23658,10.70,82.20,87.60,No
S23659,13.80,105.40,56.70,No
S23660,7.70,101.30,72.60,No
S23661,9.10,113.80,83.80,Yes
S23662,8.80,72.50,74.00,No
S23663,15.80,59.10,89.90,No
S23664,8.70,51.80,72.90,Yes
S23665,3.80,55.50,62.30,No
S23666,2.10,88.60,48.20,No
S23667,11.80,129.50,58.30,No
S23668,6.20,105.20,77.90,No
S23669,13.30,71.40,80.20,No
S23670,3.30,90.30,34.80,nan
S23671,7.30,63.90,56.70,No
S23672,3.30,65.20,72.00,nan
S23673,12.20,54.30,67.90,Yes
S23674,13.20,55.60,53.50,Yes
S23675,11.70,86.10,87.70,Yes
S23676,4.60,104.70,78.40,Yes
S23677,6.30,95.80,97.90,Yes
S23678,11.20,104.20,59.70,Yes
S23679,1.60,90.70,41.50,nan
S23680,8.80,74.30,67.10,Yes
S23681,17.60,64.50,95.20,No
S23682,9.10,86.50,67.80,No
S23683,2.60,41.40,74.00,No
S23684,7.00,62.90,,Yes
S23685,6.80,59.20,45.30,nan
S23686,20.70,99.90,50.70,Yes
S23687,18.30,47.40,56.60,Yes
S23688,13.70,93.60,60.90,No
S23689,8.30,82.70,79.80,No
S23690,16.00,83.00,53.50,No
S23691,4.30,65.60,28.20,Yes
S23692,15.40,45.70,52.00,No
S23693,14.60,85.00,58.10,No
S23694,9.20,92.70,85.10,Yes
S23695,15.70,84.90,52.70,Yes
S23696,7.80,72.10,15.30,No
S23697,3.70,,200.00,No
S23698,,62.50,65.20,No
S23699,9.60,84.00,29.90,Yes
S23700,13.00,59.20,73.70,Yes
S23701,19.10,55.80,71.80,No
S23702,6.40,46.10,65.20,Yes
S23703,9.30,85.70,72.50,Yes
S23704,17.80,85.30,58.00,Yes
S23705,13.30,98.10,55.10,No
S23706,6.50,32.10,55.60,No
S23707,5.20,98.40,60.20,No
S23708,7.40,97.30,95.20,No
S23709,6.30,,53.60,No
S23710,11.20,,76.40,Yes
S23711,10.40,79.40,50.40,No
S23712,11.40,79.30,64.70,No
S23713,5.80,56.70,63.90,Yes
S23714,9.60,57.60,14.00,No
S23715,-0.30,79.50,66.80,Yes
S23716,10.70,70.00,54.40,No
S23717,15.90,89.30,38.90,Yes
S23718,2.90,67.90,68.40,No
S23719,12.40,45.60,81.00,Yes
S23720,6.90,46.60,65.20,No
S23721,14.00,59.80,80.50,No
S23722,10.80,89.50,97.10,No
S23723,12.00,64.60,64.20,Yes
S23724,10.30,81.00,68.40,No
S23725,16.60,41.60,69.80,No
S23726,11.70,78.20,77.50,Yes
S23727,6.50,75.80,54.20,No
S23728,10.50,98.80,80.80,No
S23729,8.20,78.10,81.00,No
S23730,10.80,90.30,70.10,No
S23731,7.90,113.90,87.40,Yes
S23732,,75.80,81.00,No
S23733,11.00,105.70,48.80,Yes
S23734,10.30,77.50,65.50,Yes
S23735,15.30,64.30,77.50,No
S23736,7.90,72.80,81.00,No
S23737,0.10,64.90,26.60,No
S23738,8.20,65.60,63.40,Yes
S23739,,63.50,83.60,Yes
S23740,12.10,68.90,80.50,Yes
S23741,1.60,89.20,42.10,Yes
S23742,5.10,41.00,,No
S23743,8.20,80.70,71.20,Yes
S23744,,77.40,63.30,Yes
S23745,4.60,102.70,61.60,No
S23746,10.10,67.70,65.60,Yes
S23747,12.90,97.60,61.40,No
S23748,17.40,57.80,60.00,Yes
S23749,13.90,65.90,73.90,Yes
S23750,15.50,83.30,76.90,Yes
S23751,14.30,87.20,66.20,No
S23752,4.00,,,Yes
S23753,11.80,79.50,56.30,Yes
S23754,14.20,71.70,66.20,No
S23755,5.20,90.80,62.00,No
S23756,7.10,72.10,43.00,nan
S23757,6.00,70.50,73.40,No
S23758,13.90,,82.20,No
S23759,9.70,79.20,77.60,Yes
S23760,8.40,88.40,68.90,No
S23761,3.60,125.00,42.10,No
S23762,9.70,35.30,75.30,No
S23763,7.20,54.50,92.50,Yes
S23764,11.20,56.40,63.30,Yes
S23765,4.30,57.90,66.80,Yes
S23766,10.90,103.50,84.00,No
S23767,7.80,21.70,66.40,No
S23768,3.80,84.60,62.30,No
S23769,3.40,,65.00,No
S23770,4.10,75.50,76.90,No
S23771,9.00,80.20,78.90,Yes
S23772,10.60,93.10,33.00,No
S23773,11.30,69.70,75.10,Yes
S23774,11.50,71.50,67.40,No
S23775,6.20,34.00,53.20,Yes
S23776,15.30,120.60,86.50,No
S23777,7.80,81.10,74.80,No
S23778,12.30,83.80,45.40,Yes
S23779,9.20,96.50,76.10,No
S23780,11.90,73.70,82.60,Yes
S23781,8.90,83.50,53.40,No
S23782,12.00,89.30,68.20,No
S23783,10.00,45.50,63.80,No
S23784,14.10,85.60,65.20,No
S23785,5.90,116.50,60.20,No
S23786,1.20,109.90,58.40,Yes
S23787,5.10,,74.30,Yes
S23788,15.30,113.20,66.70,No
S23789,9.20,49.80,76.60,Yes
S23790,10.50,64.50,81.10,nan
S23791,,56.80,89.10,Yes
S23792,10.30,144.90,53.60,Yes
S23793,4.90,79.90,84.60,No
S23794,5.60,46.70,71.90,nan
S23795,8.00,53.00,67.80,No
S23796,12.20,77.10,69.90,Yes
S23797,12.80,,63.00,Yes
S23798,12.90,112.40,41.00,Yes
S23799,2.10,90.80,77.40,No
S23800,10.00,81.30,73.70,Yes
S23801,9.00,53.90,69.70,Yes
S23802,2.30,48.60,43.00,Yes
S23803,10.10,82.00,67.60,Yes
S23804,8.70,77.70,71.80,Yes
S23805,12.60,,92.90,Yes
S23806,10.40,73.90,70.80,nan
S23807,7.30,74.00,,No
S23808,14.60,89.80,72.80,No
